项目名,卡片标题,年份,赛道与奖项,学生年级,主题标签,一句话钩子,用户是谁,解决的问题,AI怎么介入,学生可改造项目,6节课Demo目标,使用的AI能力,最终展示材料,课堂提问,想一想,项目小贴士,难度,社会影响分,技术难度分,信息完整度,来源链接,是否课堂展示,展示排序,封面图路径,封面图描述,封面图来源,封面图授权,封面图状态,封面图/视觉提示
壁行·时空,把敦煌壁画做成可步入的 AI 时空展厅,2026,HarmonyOS 创新赛·极客赛道决赛参赛作品，HDC 2026 后浪研究所报道；具体奖项未公开,大学生团队，8-12 年级可改造,"文化保护, 3D空间, AI开发, 传统文化, 互动体验",如果不是每个人都能去敦煌，AI 和 3D 能不能先把壁画世界带到手机里？,对传统文化、数字展览、文旅导览或 3D 互动感兴趣的学生、博物馆志愿者和文化社团,壁画等传统文化常被“远远观看”，学生很难走近细节、理解故事，也难把静态图像变成可探索、可对话、可参与修复的体验。,"文章介绍该团队结合 HarmonyOS 3D 图形能力、Unity 引擎和 AI 辅助开发工具，做出可移动、靠近、调整视角的壁画空间；AI 还可辅助讲解、检索故事线、生成导览问题和修复建议，但史料解释必须有来源与人工复核。",校园博物馆 AI 导览、非遗 3D 展厅、古建筑互动地图、家乡文化时空漫游、可追问的历史故事空间。,做一个“AI 文化时空展厅”Demo：选择一幅壁画或一件文物，搭建 3D/网页场景，加入热点讲解、时间线、问答导览和来源卡。,3D场景搭建、图像/资料整理、AI问答导览、故事线生成、交互设计、AI辅助编程,互动展厅网页或App原型、壁画热点卡、导览问答、时间线、技术实现说明、史料来源清单,当 AI 给传统文化做讲解时，怎样避免把想象说成事实？,你最想把哪一个“只能远远看”的文化场景搬进手机里？观众应该能走近、点击、听见还是修复什么？,先从一个小场景开始，不要一上来复刻整座石窟。每个热点讲解都要标注资料来源，AI 生成的故事必须请老师或资料卡复核。,高,4,5,高,https://mp.weixin.qq.com/s/J8AUGWy7VO5yZWWTxu3-Iw,1,73,/images/cards/bixing-shikong-app.png,壁行·时空 App 界面图，展示用手机进入壁画 3D 空间并浏览文化场景的交互界面,后浪研究所微信文章配图（受访者供图）：https://mmbiz.qpic.cn/sz_mmbiz_png/FysLcXEfWseJyeTqNv4GleFGR92xuchbSouCGeLQ3aicYU9fCPibvlaHGbxjDanmfOrDFs0xHz064C9tmPGq9mQv54ksMAjIBqyCjCRzyOuVs/640?wx_fmt=png,微信公众号公开文章配图，课堂引用；需避免商用传播,待确认,手机里的敦煌壁画 3D 展厅、可点击热点、AI 导览问答和史料来源卡并列展示
TorchVision,给视障者的语音导航安全助手,2025,Technovation Girls 2025 Beginner Division Finalist Team,Beginner Division，学生具体年级未公开,"无障碍, 语音交互, 公共安全",看不见路上的危险时，AI 能不能用声音先提醒你绕开？,视障人士、低视力学生、校园无障碍志愿者、出行照护者,视障或低视力用户在陌生环境中很难快速获得路况、危险、求助和位置提醒，普通地图也不一定适合无手操作。,官方说明该应用用语音控制帮助视障用户导航，并提供危险提醒和 SOS 定位分享；课堂版可结合语音识别、物体/障碍提示、位置规则和紧急联系人提醒。,校园无障碍路线助手、博物馆语音导览、夜间回家安全提示、楼道障碍提醒工具。,做出一个可语音输入目的地或场景、识别/模拟前方危险、给出下一步提示并生成 SOS 联系卡的无障碍导航原型。,语音识别、语音播报、图像/障碍识别、位置规则、风险提示,语音导航 demo、危险提醒流程、无障碍路线图、SOS 联系卡、测试反馈记录,无障碍工具应该把“速度”放第一，还是把“可确认、可求助”放第一？,如果你闭上眼睛从教室走到校门口，最需要被提醒的是台阶、门、车、还是人群？,先做一个很小的路线场景，比如教室到电梯。把每个提醒都设计成用户能听懂、能确认、能取消的短句。,中高,5,4,高,https://technovationchallenge.org/results/2025-season/；https://www.youtube.com/watch?v=o0IvFEk_5rE,1,74,/images/cards/torchvision-technovation.jpg,TorchVision 官方 pitch 视频缩略图，展示面向视障用户的语音导航安全应用,Technovation 官方结果页嵌入 pitch 视频缩略图：https://www.youtube.com/watch?v=o0IvFEk_5rE,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,手机语音导航界面、前方危险提醒、SOS 定位分享和安全路线提示并列展示
GlucoChat,陪糖尿病学生记录日常的 AI 支持站,2025,Technovation Girls 2025 Junior Division Finalist Team,Junior Division，学生具体年级未公开,"健康管理, 慢病记录, 社区支持",每天要记血糖、胰岛素和用品时，AI 能不能把杂乱记录变成照护者看得懂的清单？,需要管理血糖记录的青少年、家长照护者、校医和健康课程老师,慢病管理需要持续记录血糖、胰岛素、配件和情绪支持，学生和照护者容易漏记、看不懂趋势或不知道该准备什么用品。,官方说明项目提供血糖和胰岛素追踪、必要配件目录和情感支持社区；课堂版可让 AI 总结记录趋势、解释异常、生成复盘问题和用品准备提醒，但不做诊断。,校园健康记录助手、运动饮食复盘表、药盒/用品提醒、给校医的周报生成器。,做出一个输入每日记录后生成趋势摘要、异常提醒、用品清单和照护者问题清单的健康记录 demo。,数据摘要、趋势解释、聊天问答、提醒生成、安全边界提示,健康记录表、趋势摘要卡、用品清单、照护者问答页、医疗边界说明,健康记录助手什么时候是在帮忙整理信息，什么时候已经越界成医疗判断？,如果你每天都要记录一件和身体有关的数据，最容易忘的是时间、数值、感受，还是该告诉谁？,课堂版只做记录整理和复盘提示，不做诊断或用药建议。所有异常都应该提示联系家长、校医或医生。,中高,4,4,高,https://technovationchallenge.org/results/2025-season/；https://www.youtube.com/watch?v=dsVC2Ca-6aw,1,75,/images/cards/glucochat-technovation.jpg,GlucoChat 官方 pitch 视频缩略图，展示血糖记录与社区支持应用,Technovation 官方结果页嵌入 pitch 视频缩略图：https://www.youtube.com/watch?v=dsVC2Ca-6aw,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,血糖趋势图、胰岛素记录、用品清单、AI 复盘提示和社区支持卡片
Junior Connect,帮小朋友认识情绪的 AI 成长教练,2025,Technovation Girls 2025 Senior Regional Honoree: Latin America,Senior Division，学生具体年级未公开,"情绪学习, 儿童教育, AI陪伴",小朋友说不出“我怎么了”时，AI 能不能把情绪变成故事、表情和下一步？,学前儿童、小学生、家长、低年级老师和儿童心理教育课程,低龄儿童常常能感到难过、生气或紧张，却很难准确命名情绪并学会合适的表达和调节方式。,官方说明 Junior Connect 使用 AI 帮助学前和小学阶段儿童识别、命名并管理情绪；课堂版可用图像/文本输入生成情绪标签、故事解释、呼吸练习和求助建议。,班级情绪签到站、绘本情绪问答、亲子沟通卡、校园冲突降温小游戏。,做出一个选择表情或输入一句话后，生成情绪名称、可能原因、一个小练习和一张求助卡的儿童情绪学习原型。,情绪文本理解、图片/表情分类、故事生成、个性化建议、安全提醒,情绪识别 demo、儿童故事卡、调节练习页、家长/老师复核说明、隐私边界卡,AI 能不能判断小朋友真正的情绪？它应该怎样让孩子和大人一起确认？,当你不知道怎么描述自己的情绪时，一个友好的工具应该先问你什么，而不是直接下结论？,低龄儿童项目要非常温和。让 AI 提供词语和练习，但把判断权留给孩子、家长和老师。,中,5,3,高,https://technovationchallenge.org/results/2025-season/；https://www.youtube.com/watch?v=QPA_ZgEuPr8,1,76,/images/cards/junior-connect-technovation.jpg,Junior Connect 官方 pitch 视频缩略图，展示儿童情绪识别与管理 AI 应用,Technovation 官方结果页嵌入 pitch 视频缩略图：https://www.youtube.com/watch?v=QPA_ZgEuPr8,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,儿童情绪表情卡、AI 生成的小故事、呼吸练习和给家长老师的确认提示
Healthy Way,把饮食和血糖变成可坚持的 AI 习惯计划,2025,Technovation Girls 2025 Beginner Regional Honoree: Asia,Beginner Division，学生具体年级未公开,"健康管理, 营养记录, 习惯养成",健康建议太多太乱，AI 能不能把每天吃什么、运动多少变成下一步小计划？,想建立健康习惯的学生、需要记录营养和血糖的家庭、健康教育社团,很多人知道要吃得更健康、规律运动和关注血糖，但难以把零散记录变成可执行、可坚持、可复盘的日常计划。,官方说明 Healthy Way 用 AI 追踪每日营养和血糖，帮助人们建立健康习惯和管理糖尿病；课堂版可做饮食记录摘要、风险提示、习惯计划和复盘问题。,午餐营养记录器、运动习惯打卡、家庭健康周报、校园饮水和睡眠提醒。,做出一个记录一周饮食/运动/血糖样例数据后，生成健康习惯建议、下一步计划和复盘图表的 demo。,表格分析、营养文本解释、趋势摘要、计划生成、提醒推荐,健康习惯仪表盘、一周计划、趋势图、AI 建议卡、专业复核说明,健康习惯工具应该提醒用户改变，还是先帮助用户看见自己的真实记录？,如果你要坚持一个健康小习惯，AI 每天提醒一次就够了吗？它还应该根据什么调整建议？,不要做“减肥打分”或诊断工具。选择一个正向习惯，比如喝水、睡眠、运动或均衡午餐，并让建议可被人工检查。,中,4,3,高,https://technovationchallenge.org/results/2025-season/；https://youtu.be/1mM3stmNOXU,1,77,/images/cards/healthy-way-technovation.jpg,Healthy Way 官方 pitch 视频缩略图，展示营养和血糖习惯追踪应用,Technovation 官方结果页嵌入 pitch 视频缩略图：https://youtu.be/1mM3stmNOXU,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,一周饮食记录、血糖趋势、AI 习惯计划和可复盘的健康目标卡
Interpret,把难读文章变成关卡的 AI 阅读伙伴,2025,Technovation Girls 2025 Beginner Regional Honoree: Latin America,Beginner Division，学生具体年级未公开,"教育公平, 阅读理解, 游戏化学习",一篇文章读不进去时，AI 能不能把它拆成故事、问题和小游戏？,阅读理解困难的学生、语言学习者、低年级老师、图书馆阅读活动组织者,学生面对长文章或陌生词汇时容易失去耐心，传统练习题也很难马上根据学生理解情况调整难度。,官方说明 Interpret 通过故事、问题和游戏帮助提高阅读理解并让学习更可及；课堂版可让 AI 分层改写文本、生成问题、提示关键词和小游戏反馈。,英语阅读闯关器、科学文章问答卡、历史资料分层阅读、图书馆 AI 导读游戏。,做出一个粘贴短文后，生成简化版、关键词、三道理解题、一个小游戏和错题提示的阅读学习 demo。,文本分级改写、关键词提取、问题生成、即时反馈、游戏化推荐,阅读闯关页面、分层文本、理解题、反馈记录、学习者隐私说明,AI 把文章改简单时，会不会也改变了原文的意思？怎么检查？,你最近读过哪篇“明明不长但很难懂”的文字？如果它变成三关游戏，第一关应该问什么？,先选 300 字以内的短文。保留原文，旁边放 AI 简化版和证据句，让学生能回到原文核对。,中,4,3,高,https://technovationchallenge.org/results/2025-season/；https://www.youtube.com/watch?v=MI5gFBmn92c,1,78,/images/cards/interpret-technovation.jpg,Interpret 官方 pitch 视频缩略图，展示阅读理解和游戏化学习应用,Technovation 官方结果页嵌入 pitch 视频缩略图：https://www.youtube.com/watch?v=MI5gFBmn92c,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,文章被拆成关键词、理解问题、小游戏关卡和 AI 反馈提示
Revi,把语音输入做成不上云的学习助手,2026,Product Hunt 2026 今日发布；本地端语音听写与剪贴板工具,初高中生 / 社团项目团队,"隐私保护, 语音交互, 学习效率",说话比打字快，但课堂笔记能不能不把声音上传到云端？,写作业、做访谈、整理课堂笔记、需要保护语音隐私的学生和老师,学生做记录时常常打字跟不上，但很多语音输入工具需要账号或上传音频，敏感内容和未成年人声音数据不适合随意离开本机。,Product Hunt 与官网说明 Revi 在 Mac/Windows/Linux 本机完成语音识别，支持 Whisper、Parakeet、Apple 等本地引擎、25+ 语言自动检测、剪贴板记录，并在密码字段保持静默。,离线课堂听写助手、采访转文字工具、演讲练习记录器、隐私友好的双语口述日记。,做出一个录入或上传短音频后生成文字、语言标签、关键词和隐私提示的本地语音笔记原型，并展示“哪些内容绝不上传”。,语音转文字、语言识别、关键词提取、文本清理、隐私规则判断,语音听写 demo、转写文本、关键词卡、隐私边界说明、用户授权流程,当 AI 记录的是人的声音时，什么信息必须先征得同意，什么信息应该默认保留在本机？,如果你要采访同学或家人，哪些片段适合转成文字，哪些片段应该允许对方一键删除？,课堂版可以先用公开音频或自愿录制的 20 秒片段，重点展示本地处理、同意、删除和密码字段静默，而不是追求完整系统级输入法。,中高,4,4,高,https://www.producthunt.com/products/revi-2；https://www.getrevi.app/,1,74,/images/cards/revi.png,Revi 官网公开预览图，展示本地语音听写工具的品牌和产品主张,项目官网 OpenGraph 图片：https://www.getrevi.app/og.png,项目官网公开图片，课堂引用；需避免商用传播,已确认,本机语音听写 HUD、语言识别、离线处理提示、密码字段静默和剪贴板历史并列展示
Annota,把个人知识库做成离线 AI 学习本,2026,Product Hunt 2026 今日发布；本地优先 AI 笔记与知识管理工具,初高中生 / 学习工具项目团队,"学习工具, 隐私保护, 知识管理",如果学习笔记都存在本地，AI 还能帮你整理、提问和生成复习卡吗？,需要长期整理课堂笔记、读书笔记、竞赛资料或个人知识库的学生和老师,学生笔记分散在不同设备和应用里，云端笔记又可能涉及隐私和同步成本，复习时很难把材料变成结构化知识。,Product Hunt 与官网说明 Annota 是跨平台、本地优先、可离线的安全笔记工具，支持端到端加密同步和可选 AI 集成，并展示桌面、移动端、AI、闪卡等功能。,离线学习资料库、AI 错题知识本、读书笔记问答器、社团资料加密归档工具。,做出一个把几篇笔记导入本地库后，自动生成标签、摘要、复习卡和自测问题的学习知识库 Demo。,文本摘要、标签生成、知识库检索、问题生成、闪卡生成、端到端隐私提示,笔记库原型、标签树、摘要卡、复习闪卡、隐私和同步说明,学习数据是越多越好，还是应该先让学生决定哪些内容可以被 AI 读取？,你最不想丢的一类学习资料是什么？它应该离线保存、加密同步，还是公开分享？为什么？,先做本地 JSON/浏览器存储版，不必马上实现真实加密同步；把“AI 可读取范围”和“手动删除”做清楚。,中,4,3,高,https://www.producthunt.com/products/annota；https://www.annota.online/,1,75,/images/cards/annota.webp,Annota 官网桌面预览图，展示本地优先笔记应用的桌面界面,项目官网截图：https://www.annota.online/assets/desktop/preview_light.webp,项目官网公开图片，课堂引用；需避免商用传播,已确认,离线笔记库、标签侧栏、AI 摘要按钮、复习闪卡和加密同步提示并列展示
TimedSubs,让字幕跟着旁白精准对齐,2026,Product Hunt 2026 今日发布；脚本优先的 AI 字幕时间轴工具,初高中生 / 视频创作与传媒社团,"无障碍, 视频创作, 多语言传播",视频脚本已经写好了，AI 能不能把每一句自动贴到正确的时间点？,制作课程视频、校园新闻、社团宣传片、公益短片或多语言字幕的学生和老师,学生视频常常有脚本和旁白，却要手动拖动字幕时间轴；错位字幕会影响观看、无障碍和跨语言传播。,Product Hunt 与官网说明 TimedSubs 会把已确认脚本和匹配的旁白音频对齐，检查时间后导出 SRT、VTT、SBV、ASS、TXT、JSON、ZIP 等字幕文件。,校园新闻字幕助手、双语公益视频字幕器、课堂微课字幕生成器、听障友好视频发布流程。,做出一个输入脚本和短音频后，生成分句时间轴、可编辑字幕表和 SRT/VTT 导出的字幕对齐 Demo。,语音对齐、句子切分、时间轴生成、格式转换、字幕质检,字幕时间轴、SRT/VTT 文件、视频预览、错位检查报告、无障碍说明,字幕工具应该优先忠实脚本，还是优先贴合真实发音？两者不一致时怎么办？,如果你要给一段校园活动视频加字幕，哪些观众最依赖字幕的准确时间？,课堂版可从 30 秒视频开始，重点做“脚本是原文、音频是证据、人工可改时间点”的流程。,中,4,3,高,https://www.producthunt.com/products/timedsubs；https://timedsubs.com/,1,76,/images/cards/timedsubs.jpg,TimedSubs 官网封面图，展示脚本和旁白自动生成同步字幕的产品视觉,项目官网封面图：https://timedsubs.com/hero/timedsubs-hero-v2-cover.jpg,项目官网公开图片，课堂引用；需避免商用传播,已确认,脚本分句、音频波形、字幕时间轴、SRT/VTT 导出按钮和无障碍发布检查
Dinamo Notebook,把比赛视频变成战术分析笔记,2026,Product Hunt 2026 今日发布；开源本地优先足球视频分析浏览器扩展,初高中生 / 体育科技与数据分析社团,"体育科技, 视频分析, 本地优先",看完一场球，AI 能不能帮你把关键回合画出来、讲清楚、导出成报告？,足球社团、校队教练、体育记者社团、想学习战术分析的学生,普通视频只能回看，难以把关键帧、跑位、阵型、解释和报告放在一起；专业分析工具又常常昂贵或封闭。,Product Hunt 和 GitHub README 说明 Dinamo Notebook 可在浏览器里对 YouTube/Twitch/Dailymotion 或本地视频做时间戳笔记、球员和事件标记、战术绘图、PDF/HTML/GIF 导出；AI 分析为可选，使用自己的 OpenAI API key，并保持本地优先。,校队比赛战术复盘、篮球/足球训练剪辑助手、体育课动作分析笔记、赛事解说资料包。,做出一个上传或引用短视频后，可暂停标记关键帧、画箭头/区域、让 AI 生成战术解释并导出一页复盘报告的体育分析 Demo。,视频关键帧标注、战术文本解释、事件标签、报告生成、图像/绘图叠加,战术标注视频、关键帧图、AI 解说卡、PDF/HTML 报告、版权和数据边界说明,AI 看比赛时，是应该直接给结论，还是先让学生画出自己观察到的证据？,如果你只选 3 个瞬间复盘一场比赛，哪些画面最能说明一次成功或失败的配合？,使用公开视频或自录训练片段，并保留人工标注；不要下载或再分发有版权的比赛视频。,中高,3,4,高,https://www.producthunt.com/products/dinamo-notebook；https://github.com/dinamopancevo/dinamonotebook,1,77,/images/cards/dinamo-notebook.png,GitHub 公开 OpenGraph 图，展示 Dinamo Notebook 开源仓库与项目概览,GitHub OpenGraph 图片：https://opengraph.githubassets.com/66e0f0725cf0946238ddf0d15f7eea798973c1b460f5c71745809ea8f3b7751a/dinamopancevo/dinamonotebook,GitHub 公开项目预览图，课堂引用；来源授权需二次确认,待确认,比赛视频关键帧、战术箭头、球员标签、AI 解释卡和导出报告并列展示
Amaroad,让 AI 和命令行一起做项目路演稿,2026,Product Hunt 2026 今日发布；开源 AI-first 幻灯片创作环境,初高中生 / 科创与演讲项目团队,"表达展示, AI开发, 开源工具",项目快要路演了，AI 能不能从终端里帮你搭出一套可预览、可导出的幻灯片？,做科创路演、社团汇报、研究展示、课程结题和作品集演示的学生团队,学生项目常常资料很多但表达混乱，幻灯片从零设计耗时；开发型团队还希望把内容、代码和版本管理放在同一工作流里。,Product Hunt 和官网说明 Amaroad 是开源 AI-first 幻灯片创作环境，可让 Claude Code、Codex、Gemini CLI、Cursor 从终端创建和细化幻灯片，实时预览，并导出 PDF/PPTX 或分享 URL。,科创项目路演生成器、研究报告转幻灯片、社团成果展示助手、课程结题陈述排练工具。,做出一个输入项目简介、数据和图片后，AI 生成 6-8 页幻灯片大纲、可编辑页面和 PDF/PPTX 导出说明的展示助手 Demo。,大纲生成、信息结构化、幻灯片文案改写、视觉布局建议、导出与版本记录,路演幻灯片、生成提示词记录、修改前后对比、PDF/PPTX 导出、演讲备注,一份 AI 生成的路演稿，哪些部分必须来自真实项目数据，哪些部分可以让 AI 帮忙表达？,如果你的项目只能用 6 页讲清楚，每页应该回答观众的哪一个问题？,让 AI 先做结构，不要直接美化空内容。每页都要有事实来源、用户价值或演示截图。,中,3,3,高,https://www.producthunt.com/products/amaroad；https://amaroad.com/；https://github.com/pon-chi/amaroad,1,78,/images/cards/amaroad.png,Amaroad 官网 OpenGraph 图，展示 AI-first 幻灯片创作与编辑环境,项目官网 OpenGraph 图片：https://amaroad.com/assets/og-image.png?v=3,项目官网公开图片，课堂引用；需避免商用传播,已确认,终端提示词、幻灯片实时预览、多页并行编辑、PDF/PPTX 导出和演讲备注
"Fluxmail","把邮箱变成会提醒的 AI 工作台","2026","Product Hunt 2026 今日发布；Gmail AI 邮件工作流工具","初高中生 / 社团项目团队","创业工具, 信息管理, AI助手","邮件太多时，AI 能不能先判断哪封最急，再用你的语气草拟回复？","学生创业队、社团运营同学、竞赛项目组、需要协调家长和老师的活动负责人","项目沟通常散落在不同邮件线程里，重要邀请、报名确认、赞助回复和后续追问很容易被埋掉。","Product Hunt 和官网说明 Fluxmail 会为 Gmail 线程排序、摘要长邮件、按用户语气草拟回复，并提醒未收到回应的跟进事项。","社团邮箱优先级助手、比赛报名提醒器、导师反馈回复草稿、校园活动邮件看板。","做出一个“AI 邮件工作台”Demo：导入 8-10 封模拟邮件，自动分出紧急/待回复/待跟进，生成摘要、回复草稿和提醒时间。","邮件分类、线程摘要、语气模仿、回复生成、跟进提醒、隐私提示","邮件优先级看板、回复草稿、跟进日历、隐私边界说明、人工确认记录","AI 替你写邮件时，哪些内容必须本人确认后才能发送？","判断一封邮件是否“紧急”，应该看截止时间、发件人、情绪、关键词，还是之前的上下文？","课堂版只使用老师提供的模拟邮件，不接入真实邮箱。重点展示分类理由、人工确认和删除敏感信息的流程。","中","4","3","高","https://www.producthunt.com/products/fluxmail；https://www.fluxmail.ai","1","79","/images/cards/fluxmail.png","Fluxmail 官网截图，展示 AI 邮件工具的首页和邮箱优先级界面预览","项目官网截图：https://www.fluxmail.ai","公开项目官网截图，课堂引用；需避免商用传播","已确认","邮箱看板中突出高优先级邮件、AI 摘要、回复草稿和跟进提醒"
"Athena Desktop","把多个 AI 编程助手放进同一个控制室","2026","Product Hunt 2026 今日发布；开源 local-first AI coding agents 控制台","初高中生 / 编程社团项目团队","创业工具, AI编程, 项目管理","当一个项目同时让 Codex、Claude Code 和终端工作，学生能不能看清谁在做什么？","高年级编程社团、AI 项目小组、带学生做原型的老师、需要记录 AI 协作过程的团队","学生使用多个 AI 编程工具时，任务、上下文、历史记录和终端输出容易分散，最后很难复盘 AI 做了哪些决定。","Product Hunt 说明 Athena Desktop 是带共享项目上下文的本地 AI coding agent 控制面板，整合 Codex、Claude、OpenCode 等终端会话、记忆和工作区控制。","学生 AI 协作看板、项目上下文日志、AI 任务分工控制台、编程社团多代理实验室。","做出一个“AI 编程控制室”Demo：模拟 3 个 AI 助手处理需求、代码、测试任务，展示共享上下文、任务状态和人工审批点。","任务拆解、上下文摘要、会话检索、终端日志解释、工作流编排","多代理控制台、任务卡、会话日志、共享记忆板、安全权限清单","多个 AI 同时帮你写项目时，谁负责确认最后代码真的能运行？","如果一个 AI 给需求、一个 AI 写代码、一个 AI 测试，三者意见冲突时应该听谁的？","先做模拟控制台，不直接执行真实终端命令。每个 AI 建议都要有“人类确认”状态和可追溯日志。","高","3","5","高","https://www.producthunt.com/products/athena-desktop；https://luckeysystems.com","1","80","/images/cards/athena-desktop.png","Athena 官网截图，展示 local-first AI workshop 和本地记忆控制台的品牌首页","项目官网截图：https://luckeysystems.com","公开项目官网截图，课堂引用；需避免商用传播","已确认","本地 AI 编程控制台、多个 agent 会话、共享记忆和人工审批节点并列展示"
"YoAmigo Studio","把 AI 编程代理变成可交付应用工坊","2026","Product Hunt 2026 今日发布；local-first AI app builder 桌面工具","初高中生 / 编程社团项目团队","创业工具, AI编程, 应用开发","不用从零搭数据库、登录和支付，AI 能不能先把应用骨架搭好？","想做真实 Web/App 原型的学生创业队、编程社团、黑客松小组和课程项目组","学生常能做出页面原型，却会卡在数据库、登录、权限、支付和部署等“真实应用基础设施”上。","Product Hunt 说明 YoAmigo 把 Claude Code、Codex、Antigravity CLI 等命令行 coding agents 包进本地优先桌面应用，并处理数据库、支付和认证等样板工程。","社团活动报名系统、校园二手市场、课程预约原型、项目众测反馈平台。","做出一个“应用工坊”Demo：输入应用想法后，生成数据表、登录流程、核心页面清单、AI 编程任务和安全检查表。","需求拆解、数据模型生成、代码生成、集成清单、错误解释、安全检查","应用蓝图、数据表草图、登录流程图、AI 任务队列、可运行页面原型","AI 帮你搭好基础设施后，哪些安全设置不能因为“能跑”就跳过？","一个学生项目从页面 demo 变成真实应用，最难的是数据、账号、支付、权限，还是部署？","课堂版不要接真实支付；可以用模拟订单和假用户。重点让学生看懂应用骨架，而不是盲目相信自动生成的后端。","高","3","5","中","https://www.producthunt.com/products/yoamigo-studio；https://www.yoamigo.com","1","81","/images/cards/yoamigo-studio.png","YoAmigo 官网截图，展示本地化中文首页和桌面应用界面预览","项目官网截图：https://www.yoamigo.com（截图含自动中文本地化与少量未替换文案）","公开项目官网截图，课堂引用；需避免商用传播","待确认","AI 应用工坊界面中展示项目工作区、认证/数据库/支付模块和部署预览"
"HTML Deployer","把 AI 生成的 HTML 一键发布成网页","2026","Product Hunt 2026 今日发布；AI 代码到静态网站发布工具","初高中生 / 编程社团项目团队","创业工具, 网页发布, AI编程","AI 已经生成了网页代码，下一步能不能不用终端就发成真实网址？","用 ChatGPT、Claude、Gemini 生成网页的学生、老师、社团宣传组和作品展示团队","很多学生能让 AI 写出 HTML，却卡在 GitHub Pages、Netlify、FTP、手机预览和上线链接这些发布步骤。","Product Hunt 和官网说明 HTML Deployer 会从 AI 对话里识别 HTML，预览桌面/平板/手机效果，并发布到 Netlify、GitHub、FTP 或自有服务器。","作业作品发布助手、社团活动页一键上线、课堂 HTML 展示台、AI 网页发布检查器。","做出一个“AI 网页发布器”Demo：粘贴 HTML，自动检查标题/链接/移动端布局，生成预览，并输出发布清单和 QR 码。","代码块识别、HTML检查、响应式预览、发布步骤生成、错误解释","网页预览、发布清单、移动端截图、QR码、上线复盘表","从 AI 对话复制网页代码直接上线，最需要先检查哪些风险？","一个网页“能打开”和“可以公开发布”之间，还差隐私、版权、移动端和可访问性里的哪一步？","课堂版可以先导出 ZIP 或本地预览，不要求接真实账号。上线前必须检查图片来源、外链和个人信息。","中","3","3","高","https://www.producthunt.com/products/html-deployer-2；https://backrun.co/html-deployer","1","82","/images/cards/html-deployer.png","HTML Deployer 官网截图，展示将 AI 生成 HTML 发布成真实网站的中文首页和产品卡片","项目官网截图：https://backrun.co/html-deployer","公开项目官网截图，课堂引用；需避免商用传播","已确认","AI 对话里的 HTML 代码、桌面/手机预览、部署按钮、上线链接和 QR 码流程"
"Handover","把项目资料整理成一个清楚的交付页","2026","Product Hunt 2026 今日发布；项目交付与链接整理工具","初高中生 / 社团项目团队","创业工具, 项目管理, 信息整理","项目做完后，一堆文档、视频、文件和链接能不能变成一个别人看得懂的交付页？","学生项目组、设计社团、黑客松团队、帮客户或老师交付成果的学生创作者","项目交付常常是一串散乱链接：Figma、Drive、Notion、Loom、代码仓库和下一步说明混在聊天或邮件里，接收者很难知道先看什么。","Product Hunt 和官网说明 Handover 把设计、文档、素材和链接放进一个 client-ready 页面；课堂改造可以加入 AI 自动分组、摘要上下文和生成下一步说明。","学生项目交付页、社团活动资料包、竞赛作品提交助手、毕业项目成果门户。","做出一个“AI 项目交付页”Demo：输入 8-12 个项目链接，自动分类、补充说明、生成交付页结构和接收者下一步。","链接分类、内容摘要、交付说明生成、下一步推荐、页面结构生成","交付页原型、资料分组、链接说明、接收者清单、项目复盘卡","把项目交给别人时，最重要的是文件齐全、顺序清楚，还是下一步动作明确？","如果你要把一个小组项目交给老师或客户，哪些链接必须放首页，哪些可以放到附录？","先用公开或模拟链接练习，不上传私人网盘。每个链接都要有一句“为什么要看它”和“看完做什么”。","中","3","3","高","https://www.producthunt.com/products/handover-4；https://www.handover.today","1","83","/images/cards/handover.png","Handover 官网截图，展示一个链接整合所有项目资料的交付页首页和示例卡片","项目官网截图：https://www.handover.today","公开项目官网截图，课堂引用；需避免商用传播","已确认","一个项目交付页中集中展示设计文件、文档、素材、演示视频、代码仓库和下一步任务"
